Company Name,Category,Source,Headquarters,No of Employees,Annual Revenue (US$ m),Email,URL,Phone Number,Fax,Address,City,State,Country
Consegna Pharma ,Health,JPM,,,,,,,,,,,
Constellation Pharmaceuticals,Health,GlobalData,United States of America,82,,info@constellationpharma.com,www.constellationpharma.com,1 617 7140555,1 617 5770472,"Suite 200, 215 First Street",Cambridge,Massachusetts,United States of America
ContraFect,Health,GlobalData,United States of America,20,,,www.contrafect.com,1 914 2072300,,28 Wells Avenue,Yonkers,New York,United States of America
Corbion,Health,GlobalData,Netherlands,"2,040","$1,059",communications@corbion.com,www.corbion.com,31 20 5906911,31 20 6951942,Piet Heinkade 127,Amsterdam,Noord-Holland,Netherlands
Corbus Pharmaceuticals ,Health,GlobalData,United States of America,77,$5,info@corbuspharma.com,www.corbuspharma.com,1 617 9630100,,"2nd floor, 500 River Ridge Drive",Norwood,Massachusetts,United States of America
Corcept Therapeutics,Health,GlobalData,United States of America,166,$251,info@corcept.com,www.corcept.com,1 650 3273270,1 650 3273218,149 Commonwealth Dr,MENLO PARK,California,United States of America
Corium International,Health,GlobalData,United States of America,213,$32,,www.coriumintl.com,1 650 2988255,1 650 2988012,235 Constitution Drive,Menlo Park,California,United States of America
CorMedix,Health,GlobalData,United States of America,22,$0,,www.cormedix.com,1 908 5179500,1 908 3758272,"Suite 5000, 400 Connell Drive",Berkeley Heights,New Jersey,United States of America
Cortexyme,Health,GlobalData,United States of America,19,,info@cortexyme.com,www.cortexyme.com,1 415 2793644,1 302 6555049,"Suite 300, 329 Oyster Point Blvd",South San Francisco,California,United States of America
Corvus Pharmaceuticals,Health,GlobalData,United States of America,49,,,www.corvuspharma.com,1 650 9004520,,"Suite 102, 863 Mitten Road",Burlingame,California,United States of America
Cosmo Pharmaceuticals,Health,GlobalData,Ireland,291,$76,info@cosmopharma.com,www.cosmopharma.com,353 1 8170370,,"Riverside II, Sir John Rogerson's Quay",Dublin,Dublin,Ireland
Courier Therapeutics,Health,JPM,,,,,,,,,,,
Covis Pharma,Health,JPM,,,,,,,,,,,
CPC Scientific ,Health,JPM,,,,,,,,,,,
Crinetics Pharmaceuticals,Health,GlobalData,United States of America,47,$2,,www.crinetics.com,1 858 4506464,1 302 6365454,6197 Cornerstone Ct E Ste 111,SAN DIEGO,California,United States of America
CRISPR Therapeutics,Health,GlobalData,Switzerland,188,$3,,www.crisprtx.com,41 41 5613277,,Baarerstrasse 14,Zug,,Switzerland
Crown Bioscience,Health,GlobalData,Taiwan,,$74,,www.crownbio.com,886 2 77181690,,333 Keelung Road,Taipei City,Taipei,Taiwan
CryoLife,Health,GlobalData,United States of America,"1,100",$263,,www.cryolife.com,1 770 4193355,1 770 5903797,1655 Roberts Boulevard N.W.,Kennesaw,Georgia,United States of America
CSPC Pharma,Health,JPM,,,,,,,,,,,
CStone Pharmaceuticals,Health,GlobalData,China,115,,cstone@cstonepharma.com,www.cstonepharma.com,86 512 87186550,,"C1 Building, No. 218, Xinghu Street, Suzhou Industrial Park",Suzhou,Shanghai,China
CTI BioPharma,Health,GlobalData,United States of America,46,$26,,www.ctibiopharma.com,1 206 2827100,1 206 2846206,"Suite 800, 3101 Western Avenue",Seattle,Washington,United States of America
CTX Technology ,Health,JPM,,,,,,,,,,,
Cue Biopharma,Health,GlobalData,United States of America,46,$1,,www.cuebiopharma.com,1 617 9492680,,21 Erie Street,Cambridge,Massachusetts,United States of America
Cullinan Oncology,Health,JPM,,,,,,,,,,,
CURADEV PHARMA PVT ,Health,JPM,,,,,,,,,,,
Curis,Health,GlobalData,United States of America,"5,635",$10,info@curis.com,www.curis.com,1 617 5036500,1 617 5036501,4 Maguire Road,Lexington,Massachusetts,United States of America
Curonz Limited,Health,JPM,,,,,,,,,,,
Curtana Pharmaceuticals,Health,JPM,,,,,,,,,,,
Cutera,Health,GlobalData,United States of America,402,$163,,www.cutera.com,1 415 6575500,1 415 3302444,3240 Bayshore Boulevard,Brisbane,California,United States of America
Cyclacel Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Cymay Therapeutics,Health,GlobalData,United States of America,43,,info@cymabay.com,www.cymabay.com,1 510 2938800,1 510 2939090,"Suite 130, 7999 Gateway Boulevard",Newark,California,United States of America
Cypre ,Health,JPM,,,,,,,,,,,
Cytodyn,Health,GlobalData,United States of America,6,,info@cytodyn.com,www.cytodyn.com,1 360 9808524,1 360 9808549,"Suite 660, 1111 Main Street",Vancouver,Washington,United States of America
Cytokinetics,Health,GlobalData,United States of America,130,$32,,cytokinetics.com,1 650 6243000,1 650 6243010,280 E Grand Ave,SOUTH SAN FRANCISCO,California,United States of America
CytomX Therapeutics,Health,GlobalData,United States of America,137,$60,,cytomx.com,1 650 5153185,1 650 3510353,"Suite 400, 151 Oyster Point Boulevard",South San Francisco,California,United States of America
CytoSen Therapeutics,Health,JPM,,,,,,,,,,,
Cytostrata Biosciences,Health,JPM,,,,,,,,,,,
Cytovance Biologics,Health,JPM,,,,,,,,,,,
Czechbio,Health,JPM,,,,,,,,,,,
Da Volterra,Health,JPM,,,,,,,,,,,
Daeng,Health,GlobalData,South Korea,"3,930","$2,690",webmaster@daesang.com,www.daesang.co.kr,82 2 22209500,82 2 22323719,,Dongdaemun,,South Korea
Daewoong,Health,GlobalData,South Korea,278,"$1,120",,www.daewoongholdings.com,82 2 21906969,82 31 5508009,"244, Galmachi-ro, Jungwon-gu",Seongnam,,South Korea
Daiichi Sankyo,Health,JPM,,,,,,,,,,,
Daito Pharmaceutical,Health,GlobalData,Japan,734,$360,,www.daitonet.co.jp,81 76 4215665,81 76 4216006,"326, Yokamachi",Toyama City,Toyama,Japan
Dauntless Pharmaceuticals ,Health,JPM,,,,,,,,,,,
DBV Technologies,Health,GlobalData,France,244,$17,info@dbv-technologies.com,www.dbv-technologies.com,33 1 55427878,33 1 43261083,177-181 avenue Pierre Brossolette,Montrouge,,France
Debiopharm International ,Health,JPM,,,,,,,,,,,
Dechra Pharmaceuticals,Health,GlobalData,United Kingdom,"1,437",$543,,www.dechra.com,44 1606 814730,,"Cheshire Business Park, 24 Cheshire Avenue",Northwich,England,United Kingdom
Deciphera Pharmaceuticals,Health,GlobalData,United States of America,112,,info@deciphera.com,www.deciphera.com,1 781 2096400,1 785 8302150,"6th Floor
 
 , 500 Totten Pond Road",Waltham,Massachusetts,United States of America
Deinove ,Health,JPM,,,,,,,,,,,
Delcath Systems,Health,GlobalData,United States of America,46,$3,,delcath.com,1 212 4892100,1 212 4892102,"Suite C, 22nd Floor, 1633 Broadway",New York,New York,United States of America
DelNova ,Health,JPM,,,,,,,,,,,
Delta-Fly Pharma ,Health,JPM,,,,,,,,,,,
Denali Therapeutics,Health,GlobalData,United States of America,179,$129,,denalitherapeutics.com,,,"2nd Floor, 151 Oyster Point Blvd.",South San Francisco,California,United States of America
Denovo Biopharma ,Health,JPM,,,,,,,,,,,
Dentsply Sirona,Health,GlobalData,United States of America,"16,400","$3,986",contact@dentsplysirona.com,www.dentsplysirona.com,1 717 8457511,1 302 6365454,"Susquehanna Commerce Center, 221 W. Philadelphia Street",York,Pennsylvania,United States of America
Dermira,Health,GlobalData,United States of America,333,$42,,www.dermira.com,1 650 4217200,,"Suite 150, 275 Middlefield Road",Menlo Park,California,United States of America
DesignMedix,Health,GlobalData,,,,,,,,,,,
DesignMedix ,Health,JPM,,,,,,,,,,,
DeuteRx,Health,JPM,,,,,,,,,,,
DexCom,Health,GlobalData,United States of America,"2,800","$1,032",,www.dexcom.com,1 858 2000200,1 302 6365454,6340 Sequence Drive,San Diego,California,United States of America
Diagnomics ,Health,JPM,,,,,,,,,,,
DiaMedica,Health,JPM,,,,,,,,,,,
Dianomi Therapeutics ,Health,JPM,,,,,,,,,,,
Dicerna Pharmaceuticals,Health,GlobalData,United States of America,78,$6,,www.dicerna.com,1 617 6218097,1 617 6126298,87 Cambridgepark Drive,Cambridge,Massachusetts,United States of America
Diligentia,Health,JPM,,,,,,,,,,,
Dimerix Bioscience Limited,Health,JPM,,,,,,,,,,,
DiscoveRx Corporation,Health,JPM,,,,,,,,,,,
Diurnal Group,Health,GlobalData,United Kingdom,27,$0,,www.diurnal.co.uk,44 29 20682069,,Cardiff Medicentre,Cardiff,Wales,United Kingdom
Dong E E Jiao,Health,GlobalData,China,"4,836","$1,109",webmaster@dongeejiao.com,www.dongeejiao.com,86 635 3262315,,"No. 78, Gelatan Street",LIAOCHENG,Shandong,China
Dong Wha Pharma,Health,GlobalData,South Korea,723,$279,dongwha@dong-wha.co.kr,www.dong-wha.co.kr,82 2 20219300,82 2 7767873,"19th Floor, LG Seoul Station Building, 98, Huam-ro",Seoul City,,South Korea
Dong-A Pharmaceutical Co. ,Health,JPM,,,,,,,,,,,
Dong-A Socio Holdings,Health,GlobalData,South Korea,273,$644,,en.donga.co.kr,82 2 9208114,82 2 9530336,"64, Cheonho-daero, Dongdaemun-gu",Seoul City,,South Korea
Dong-A ST,Health,GlobalData,South Korea,"1,591",$516,,www.donga-st.com,82 2 9208111,82 2 9254026,64 Cheonhodaero,Seoul City,,South Korea
Dongkook Pharmaceutical,Health,GlobalData,South Korea,757,$365,,www.dkpharm.co.kr,82 2 21919850,82 2 20199861,"Dongkook Building 7, Teheran-ro 108-gil",Seoul City,,South Korea
Dova Pharmaceuticals,Health,GlobalData,United States of America,115,$10,info@dova.com,www.dova.com,1 919 7485975,,"Suite 245, 240 Leigh Farm Road",Durham,North Carolina,United States of America
Dr. Reddy's Laboratories,Health,GlobalData,India,"23,524","$2,092",,www.drreddys.com,91 40 49002900,91 40 49002999,"8-2-337, Road No.3",Hyderabad,Telangana,India
DrugCendR ,Health,JPM,,,,,,,,,,,
DS Biopharma,Health,JPM,,,,,,,,,,,
DS Inpharmatics,Health,JPM,,,,,,,,,,,
Dualogics ,Health,JPM,,,,,,,,,,,
DURECT,Health,GlobalData,United States of America,88,$19,,www.durect.com,1 408 7771417,1 408 7773577,10260 Bubb Road,Cupertino,California,United States of America
Dyadic International ,Health,JPM,,,,,,,,,,,
Dynacure,Health,JPM,,,,,,,,,,,
Dynavax Technologies,Health,GlobalData,United States of America,249,$8,contact@dynavax.com,www.dynavax.com,1 510 8485100,1 510 8481327,2929 7th St Ste 100,BERKELEY,California,United States of America
EB Sub,Health,GlobalData,United States of America,73,$1,info@epirusbiopharma.com,www.epirusbiopharma.com,1 617 6003497,,"8th Floor, 699 Boylston St",Boston,Massachusetts,United States of America
Ecole Technologie Superieure,Health,GlobalData,,,,,,,,,,,
Eczacibasi Pharmaceuticals,Health,JPM,,,,,,,,,,,
Edge Therapeutics,Health,GlobalData,United States of America,10,,info@edgetherapeutics.com,www.edgetherapeutics.com,,,"Suite 4000, 300 Connell Drive",Berkeley Heights,New Jersey,United States of America
EdgeOne Medical,Health,GlobalData,,,,,,,,,,,
Editas Medicine,Health,GlobalData,United States of America,133,$32,info@editasmed.com,www.editasmedicine.com,1 617 4019000,1 302 6555049,11 Hurley Street,Cambridge,Massachusetts,United States of America
EffRx Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Eidos Therapeutics,Health,GlobalData,United States of America,28,,info@eidostx.com,eidostx.com,1 415 8871471,,"Suite 2550, 101 Montgomery Street",San Francisco,California,United States of America
Eiger BioPharmaceuticals,Health,GlobalData,United States of America,18,,info@eigerbio.com,www.eigerbio.com,1 650 2799845,1 650 6181621,2155 Park Boulevard,Palo Alto,California,United States of America
Eisai ,Health,JPM,,,,,,,,,,,
EisnerAmper,Health,GlobalData,,,,,,,,,,,
Elanco Animal Health,Health,GlobalData,,,,,,,,,,,
Elanix Biotechnologies ,Health,JPM,,,,,,,,,,,
Ele Pharmaceuticals,Health,GlobalData,United States of America,96,$213,info@eagleus.com,www.eagleus.com,1 201 3265300,1 302 6365454,"Suite 315, 50 Tice Boulevard",Woodcliff Lake,New Jersey,United States of America
Elekta,Health,GlobalData,Sweden,"3,757","$1,331",info@elekta.com,www.elekta.com,46 8 58725400,46 8 58725500,Kungstensgatan 18,Stockholm,,Sweden
Elex Biotech,Health,JPM,,,,,,,,,,,
Eloxx Pharmaceuticals,Health,GlobalData,United States of America,29,,info@seviontherapeutics.com,www.eloxxpharma.com,1 858 9090749,1 302 6365454,"Suite 150, 950 Winter Street",Waltham,Massachusetts,United States of America
Elsalys Biotech,Health,JPM,,,,,,,,,,,
Elthera ,Health,JPM,,,,,,,,,,,
Embera NeuroTherapeutics ,Health,JPM,,,,,,,,,,,
EmeraMed,Health,JPM,,,,,,,,,,,
Emergent BioSolutions,Health,GlobalData,United States of America,"1,705",$782,,www.emergentbiosolutions.com,1 240 6313200,1 240 6313203,"Suite 400, 400 Professional Drive",Gaithersburg,Maryland,United States of America
Enanta Pharmaceuticals,Health,GlobalData,United States of America,113,$207,info@enanta.com,www.enanta.com,1 617 6070800,1 617 6070530,500 Arsenal Street,Watertown,Massachusetts,United States of America
Endo International,Health,GlobalData,Ireland,"2,910","$2,947",,www.endo.com,353 1 2682000,,"First Floor, Minerva House, Simmonscourt Road, Ballsbridge",Dublin,Leinster,Ireland
EndoCyclic Therapeutics,Health,JPM,,,,,,,,,,,
Endocyte,Health,GlobalData,United States of America,44,$0,,www.endocyte.com,1 765 4637175,1 765 4639271,3000 Kent Avenue,West Lafayette,Indiana,United States of America
Enevolv ,Health,JPM,,,,,,,,,,,
enus,Health,GlobalData,United States of America,294,$37,,www.agenusbio.com,1 781 6744400,1 781 6744200,3 Forbes Road,Lexington,Massachusetts,United States of America
ENYO Pharma ,Health,JPM,,,,,,,,,,,
eona Therapeutics,Health,GlobalData,United States of America,83,$3,,www.abeonatherapeutics.com,1 214 9055100,1 302 6555049,"1330 Avenue of the Americas, 33rd Floor",New York City,New York,United States of America
Eone-Diagnomics Genome Center,Health,JPM,,,,,,,,,,,
Epalex Corp.,Health,JPM,,,,,,,,,,,
EpiCombi Therapeutics ,Health,JPM,,,,,,,,,,,
EpiVax ,Health,JPM,,,,,,,,,,,
Epizyme,Health,GlobalData,United States of America,124,$22,contact@Epizyme.com,,1 617 2295872,1 617 3490707,"4th Floor, 400 Technology Square",Cambridge,Massachusetts,United States of America
Epygenix Therapeutics ,Health,JPM,,,,,,,,,,,
Ergomed ,Health,JPM,,,,,,,,,,,
Erytech Pharma,Health,GlobalData,France,135,$5,contact@erytech.com,www.erytech.com,33 4 78744438,,60 Avenue Rockefeller,Lyon,,France
Escala Therapeutics,Health,GlobalData,,,,,,,,,,,
Escend Pharmaceuticals ,Health,JPM,,,,,,,,,,,
ESFAM Biotech,Health,JPM,,,,,,,,,,,
Esperion Therapeutics,Health,GlobalData,United States of America,76,,,www.esperion.com,1 734 8873903,,"Suite 150
 
 , 3891 Ranchero Drive",Ann Arbor,Michigan,United States of America
Espero Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Estlishment Ls,Health,GlobalData,Costa Rica,505,$61,info@motivaimplants.com,establishmentlabs.com,,,Coyol Free Zone,,,Costa Rica
Eternogen,Health,JPM,,,,,,,,,,,
ethris GmbH,Health,JPM,,,,,,,,,,,
Euclises Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Eupraxia Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Eurofarma Laboratórios ,Health,JPM,,,,,,,,,,,
Evaxion Biotech,Health,JPM,,,,,,,,,,,
Evelo Biosciences,Health,GlobalData,United States of America,75,,info@evelobio.com,evelobio.com,1 617 8708281,1 302 6555049,"Suite 200 West, 620 Memorial Drive",Cambridge,Massachusetts,United States of America
Everlight Chemical Industrial,Health,GlobalData,Taiwan,"1,675",$319,,www.ecic.com,886 2 27066006,886 2 27081254,"6th Floor, No. 77, Section 2, DunHua South Road",Taipei City,Taipei,Taiwan
Evofem Biosciences,Health,GlobalData,United States of America,30,,info@evofem.com,www.evofem.com,1 858 5501900,,"Suite 600, 12400 High Bluff Drive",San Diego,California,United States of America
Evogene,Health,GlobalData,Israel,165,$3,info@evogene.com,www.evogene.com,972 8 9311900,972 8 9466724,13 Gad Feinstein Street,Rehovot City,Rehovot,Israel
Evolva Holding,Health,GlobalData,Switzerland,67,$9,info@evolva.com,www.evolva.com,41 61 4852000,41 61 4852001,Duggingerstrasse 23,Reinach,Aargau,Switzerland
EvoRx,Health,JPM,,,,,,,,,,,
Evotec,Health,GlobalData,Germany,"2,268",$443,info@evotec.com,www.evotec.com,49 40 560810,49 40 56081222,Essener Bogen 7,Hamburg City,Hamburg,Germany
Ewopharma AG,Health,JPM,,,,,,,,,,,
Exact Sciences,Health,GlobalData,United States of America,"1,977",$454,,www.exactsciences.com,1 608 2845700,,441 Charmany Drive,Madison,Wisconsin,United States of America
Exelixis,Health,GlobalData,United States of America,484,$854,info@exelixis.com,www.exelixis.com,1 650 8377000,1 650 8378300,210 E Grand Avenue,South San Francisco,California,United States of America
Exicure,Health,GlobalData,United States of America,26,$0,,www.exicuretx.com,1 847 6731700,1 847 5566411,"Suite 410
 
 , 8045 Lamon Avenue",Skokie,Illinois,United States of America
Eyenovia,Health,GlobalData,United States of America,22,,admin@eyenoviabio.com,www.eyenovialab.com,1 813 7669539,1 302 6365454,8748 Technology Way,RENO,Nevada,United States of America
EyePoint Pharmaceuticals,Health,GlobalData,United States of America,55,$3,Info@psivida.com,www.psivida.com,1 617 9265000,1 617 9265050,"Suite B300
 
 , 480 Pleasant Street",Watertown,Massachusetts,United States of America
Facile Therapeutics ,Health,JPM,,,,,,,,,,,
Faes Farma ,Health,JPM,,,,,,,,,,,
Fairjourney Biologics,Health,JPM,,,,,,,,,,,
Faraday Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Faron Pharmaceuticals Oy,Health,GlobalData,Finland,25,,info@faron.com,www.faron.com,358 2 4695151,358 2 4695152,Joukahaisenkatu 6,TURKU,,Finland
Fate Therapeutics,Health,GlobalData,United States of America,104,$5,info@fatetherapeutics.com,fatetherapeutics.com,1 858 8751803,1 302 6365454,"Suite 200, 3535 General Atomics Court",San Diego,California,United States of America
Feldan ,Health,JPM,,,,,,,,,,,
Felicitex Therapeutics ,Health,JPM,,,,,,,,,,,
FenoLogica Biosciences ,Health,JPM,,,,,,,,,,,
Ferrer Internacional ,Health,JPM,,,,,,,,,,,
FibroGen,Health,GlobalData,United States of America,461,$213,info@fibrogen.com,www.fibrogen.com,1 415 9781200,1 415 9781902,409 Illinois Street,San Francisco,California,United States of America
Five Prime Therapeutics,Health,GlobalData,United States of America,168,$50,,www.fiveprime.com,1 415 3655600,1 415 3655601,111 Oyster Point Blvd,South San Francisco,California,United States of America
Flatley Discovery Lab ,Health,JPM,,,,,,,,,,,
Flex Pharma,Health,GlobalData,United States of America,4,$1,info@flex-pharma.com,www.flex-pharma.com,1 617 8741821,,"24th Floor, 800 Boylston Street",Boston,Massachusetts,United States of America
Flexion Therapeutics,Health,GlobalData,United States of America,272,$23,info@flexiontherapeutics.com,flexiontherapeutics.com,1 781 3057777,1 781 2023399,10 Mall Rd Ste 301,Burlington,Massachusetts,United States of America
Flow Pharma ,Health,JPM,,,,,,,,,,,
Fluidigm,Health,GlobalData,United States of America,505,$113,,www.fluidigm.com,1 650 2666000,,"Suite 100, 7000 Shoreline Court",South San Francisco,California,United States of America
FMC,Health,GlobalData,United States of America,"7,300","$4,728",,www.fmc.com,1 215 2996000,1 215 2995998,2929 Walnut Street,Philadelphia,Pennsylvania,United States of America
Foamix Pharmaceuticals,Health,GlobalData,Israel,81,$4,,www.foamix.com,972 8 9316233,972 8 9474356,"2 Holzman Street, Weizmann-Science Park",Rehovot City,Rehovot,Israel
Foresee Pharmaceuticals,Health,GlobalData,Taiwan,15,$1,info@foreseepharma.com,www.foreseepharma.com,886 2 26552658,886 2 26552657,"3rd floor, No.19-3, Sanchong Road",Taipei City,Taipei,Taiwan
Formo Loratories,Health,GlobalData,Taiwan,480,$89,info@formosalab.com,www.formosalab.com,886 3 3240895,886 3 3240923,36 Hoping Street,Taoyuan,,Taiwan
Fortress Biotech,Health,GlobalData,United States of America,88,$27,info@fortressbiotech.com,www.fortressbiotech.com,1 781 6524500,1 781 6524545,"9th Floor, 2 Gansevoort Street",New York,New York,United States of America
Forty Seven,Health,GlobalData,United States of America,58,,info@fortyseveninc.com,www.fortyseveninc.com,1 650 3524150,1 302 6365454,"1490 Obrien Dr Ste A, 1490 Obrien Drive Street A",Menlo Park,California,United States of America
Foundation Medicine,Health,GlobalData,United States of America,682,$153,,www.foundationmedicine.com,1 617 4182200,1 617 4182290,", 150 Second Street",Cambridge,Massachusetts,United States of America
Frequency Therapeutics,Health,JPM,,,,,,,,,,,
Fresenius Kabi,Health,GlobalData,Germany,"112,658","$19,527",,www.freseniusmedicalcare.com,49 6172 6090,49 6172 6092301,Else-Kroener-Strasse 1,Bad Homburg,Hessen,Germany
Frutarom Industries,Health,GlobalData,Israel,"5,223","$1,362",info@frutarom.com,www.frutarom.com,972 4 9877600,972 4 8722517,"P.O. Box 3008, Manofim Street",Herzeliya,Tel Aviv,Israel
Fuan Pharmaceutical,Health,GlobalData,China,"3,030",$404,,www.en.fapharm.com,86 23 61028705,,No. 1 Huanan 1 Road,Chongqing City,Chongqing,China
Fuji Pharma,Health,GlobalData,Japan,"1,511",$342,,www.fujipharma.jp,81 3 35563344,81 3 35564455,5-7 Sanban-cho,Chiyoda-Ku,Tokyo,Japan
Fuso Pharmaceutical Industries,Health,GlobalData,Japan,"1,366",$414,info@fuso-pharm.co.jp,www.fuso-pharm.co.jp,81 6 69691131,,"1-7-10, Doshomachi",Osaka City,Osaka,Japan
G1 Therapeutics,Health,GlobalData,United States of America,84,,info@g1therapeutics.com,www.g1therapeutics.com,1 919 2139835,1 919 7415830,"Suite 100, 79 T.W. Alexander Drive, 4501 Research Commons",Durham,North Carolina,United States of America
Gabather,Health,JPM,,,,,,,,,,,
Galapagos ,Health,JPM,,,,,,,,,,,
Galapos,Health,GlobalData,Belgium,779,$375,,www.glpg.com,32 15 342900,32 15 342901,Generaal De Wittelaan L11 A3,Mechelen,Anvers,Belgium
Galecto Biotech,Health,JPM,,,,,,,,,,,
Galera Therapeutics,Health,JPM,,,,,,,,,,,
Gamida Cell,Health,GlobalData,Israel,70,,,www.gamida-cell.com,972 2 6595666,972 2 6595616,PO Box 34670,Jerusalem,,Israel
GC Pharma,Health,GlobalData,South Korea,"1,766","$1,214",,www.greencross.com,82 31 2609300,82 31 2609413,"107, Ihyeon-ro 30beon-gil",Gyeonggi-do,,South Korea
GEA Group,Health,GlobalData,Germany,"18,642","$5,698",info@gea.com,www.gea.com,49 211 91360,49 211 913631087,Peter-Mueller-Str. 12,Dusseldorf,Nordrhein-Westfalen,Germany
Gemphire Therapeutics,Health,GlobalData,United States of America,9,,,www.gemphire.com,1 734 2451700,1 734 2930444,"Suite 401, 17199 N. Laurel Park Drive",Livonia,Michigan,United States of America
GeneCure Biotechnologies,Health,JPM,,,,,,,,,,,
Genelux Corporation,Health,JPM,,,,,,,,,,,
Genentech,Health,JPM,,,,,,,,,,,
Genesys Biologics ,Health,JPM,,,,,,,,,,,
GeNeuro,Health,GlobalData,Switzerland,27,$9,contact@geneuro.com,www.geneuro.com,41 22 5524800,,"3, Chemin du Pre-Fleuri",Geneva,Genf,Switzerland
Genewiz ,Health,JPM,,,,,,,,,,,
Genexine,Health,GlobalData,South Korea,152,$12,,www.genexine.com,82 31 6283200,82 31 6283229,"700 Daewangpangyo-ro, Korea Bio Park Building",Seongnam,,South Korea
Genfit,Health,GlobalData,France,128,$9,contact@genfit.com,www.genfit.com,33 3 20164000,33 3 20164001,"885, Avenue Eugene Avinee, Parc Eurasante",Loos,Nord-Pas-de-Calais,France
Genisphere,Health,JPM,,,,,,,,,,,
GenKyoTex,Health,GlobalData,France,12,,info@genkyotex.com,www.genkyotex.com,33 5 61287060,,Forum 2 Archamps Technopole 218 avenue Marie Curie,Saint-Julien- en-Genevois,,France
Genm,Health,GlobalData,Denmark,419,$479,,www.genmab.com,45 7020 2728,45 7020 2729,Kalvebod Brygge 43,Copenhagen,,Denmark
Genocea Biosciences,Health,GlobalData,United States of America,61,,,www.genocea.com,1 617 8768191,1 617 5000969,100 Acorn Park Drive,Cambridge,Massachusetts,United States of America
GENOGEN,Health,JPM,,,,,,,,,,,
Genome Profiling  (GenPro),Health,JPM,,,,,,,,,,,
Genomic Health,Health,GlobalData,United States of America,863,$394,,www.genomichealth.com,1 650 5569300,1 302 6365454,301 Penobscot Dr,REDWOOD CITY,California,United States of America
Genscript Biotech,Health,GlobalData,United States of America,"2,620",$231,info@genscript.com,www.genscript.com,1 732 8859188,1 732 2100262,860 Centennial Avenue,Piscataway,New Jersey,United States of America
GenSight Biologics,Health,GlobalData,France,33,,infos@gensight-biologics.com,www.gensight-biologics.com,33 1 76217220,,"74, Rue du Faubourg Saint-Antoine",Paris,Ile-de-France,France
Gensun Biopharma,Health,JPM,,,,,,,,,,,
Genticel,Health,GlobalData,France,12,,business@genticel.com,www.genticel.com,33 5 61287060,33 5 61287069,"Prologue-Biotech, 516 Rue Pierre et Marie Curie",Labege,Midi Pyrenees,France
Genus,Health,GlobalData,United Kingdom,"2,787",$627,,www.genusplc.com,44 1256 347100,44 1256 477385,Matrix House,Basingstoke,Hampshire,United Kingdom
Geom Therapeutics,Health,JPM,,,,,,,,,,,
GeoVax Labs,Health,JPM,,,,,,,,,,,
Geron,Health,GlobalData,United States of America,17,$1,info@geron.com,www.geron.com,1 650 4737700,1 302 4737750,"Suite 2070, 149 Commonwealth Drive",Menlo Park,California,United States of America
Getinge,Health,GlobalData,Sweden,"10,371","$2,781",info@getinge.com,www.getinge.com,46 10 3350000,46 10 3355640,Lindholmspiren 7,Gothenburg,,Sweden
GigaGen ,Health,JPM,,,,,,,,,,,
Gilead Sciences ,Health,JPM,,,,,,,,,,,
Glaukos,Health,GlobalData,United States of America,437,$181,,www.glaukos.com,1 949 3679600,1 949 3679984,229 Avenida Fabricante,San Clemente,California,United States of America
GlaxoSmithKline,Health,GlobalData,,,,,,,,,,,
Glenmark Pharmaceuticals ,Health,JPM,,,,,,,,,,,
Global Blood Therapeutics,Health,GlobalData,United States of America,171,,info@gbt.com,www.gbt.com,1 650 7417700,1 650 7417701,"Suite 300
 
 , 171 Oyster Point Boulevard",South San Francisco,California,United States of America
Gloria Pharmaceuticals Co.,Health,JPM,,,,,,,,,,,
GlycoMimetics,Health,GlobalData,United States of America,40,,info@glycomimetics.com,www.glycomimetics.com,1 240 2431201,1 301 7382137,9708 Medical Center Drive,Rockville,Maryland,United States of America
GlycoNex ,Health,JPM,,,,,,,,,,,
GLyPharma Therapeutic,Health,JPM,,,,,,,,,,,
GO Therapeutics,Health,JPM,,,,,,,,,,,
Goergen & Koeller,Health,GlobalData,,,,,,,,,,,
Gosmer Bio,Health,GlobalData,United States of America,118,,,www.gossamerbio.com,1 858 9220718,1 302 6365454,3013 Science Park Road,San Diego,California,United States of America
Graybug Vision ,Health,JPM,,,,,,,,,,,
Green Cross Holdings,Health,GlobalData,South Korea,170,"$1,409",,www.greencross.com,82 31 2609300,82 31 2609413,"107, Ihyeon-ro 30beon-gil",Yongin-Si,,South Korea
Grifols,Health,GlobalData,Spain,"21,243","$5,295",contact@grifols.com,www.grifols.com,34 935 712199,34 935 710267,"Avinguda de la Generalitat, 152, Parc empresarial Can Sant Joan",Barcelona,Barcelona,Spain
GRIFOLS,Health,JPM,,,,,,,,,,,
Gritstone Oncology,Health,GlobalData,United States of America,102,$1,info@gritstone.com,gritstoneoncology.com,1 510 8716100,1 510 5971488,5858 Horton St Ste 210,EMERYVILLE,California,United States of America
GroupOptima,Health,GlobalData,,,,,,,,,,,
Grupo Biotoscana ,Health,GlobalData,Luxembourg,708,$225,info@grupobiotoscana.com,www.grupobiotoscana.com,,,"2-4, Rue Beck",Luxembourg City,,Luxembourg
